ensembl_gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,hgnc_symbol,ihwP
ENSG00000000003,59.09981836492705,0.10917767752125862,0.4798270319213897,0.8149363757137089,0.9194322261444982,TSPAN6,0.9354106215035354
ENSG00000000005,3.6311428882050363,-0.010280984883076253,0.9680471887790363,NA,NA,TNMD,NA
ENSG00000000419,175.72292052261517,0.055041566788739935,0.4622575853116838,0.876144099234953,0.949254124049231,DPM1,0.7006800152731385
ENSG00000000457,64.61817132687729,-0.4296259600748594,0.45884934772709796,0.2686231301933503,0.5352218137194431,SCYL3,0.6258774276547958
ENSG00000000460,43.38436916533463,-1.1875393152415763,0.6033344069523656,0.016523755900638815,0.13068347450123055,C1orf112,0.14807254581291418
ENSG00000000938,6101.758970026226,0.014556267383522468,0.4901659562712627,0.9190005125910078,0.9662612356054932,FGR,1
ENSG00000000971,49.49982382168231,-0.5845933030044987,0.7484795128323943,0.2387977861833231,0.5051827389192594,CFH,0.5934211862133303
ENSG00000001036,214.44762554983683,0.6562347081522457,0.3154417119539342,0.028708070010754223,0.170727148556777,FUCA2,0.14553325185260588
ENSG00000001084,364.101093987549,-0.34394505533899783,0.49868761161367636,0.3837750135373283,0.6414215896719848,GCLC,0.5972306779620037
ENSG00000001167,176.02824511890503,-0.38655329392885945,0.43306590459347555,0.3159676041555826,0.5831083454232403,NFYA,0.5397744824876521
ENSG00000001460,65.65825068513878,-0.041519986713685994,0.5268674231436827,0.9386954357901347,0.9742164907931022,STPG1,0.9571831948038407
ENSG00000001461,103.10543408993294,0.1569071482871589,0.4253101834511516,0.7014124585591534,0.8606432455426147,NIPAL3,0.9442025601864552
ENSG00000001497,33.34639091630645,0.8690580886963779,0.5510669467918828,0.08405932290873341,0.2942172238033595,LAS1L,0.3738100756390772
ENSG00000001561,73.03784196184493,0.07365921257626429,0.5938154689550812,0.8263246185969315,0.9251505331166289,ENPP4,1
ENSG00000001617,40.206479708151214,-0.002149946365651359,0.657715506999062,0.963572853327829,0.9853568611489784,SEMA3F,1
ENSG00000001626,699.5972187011694,-0.04387150447283915,0.4621239290006222,0.9164442771143837,0.9653607573862719,CFTR,0.9469246004473236
ENSG00000001629,247.7533889840822,-0.6800756768384368,0.40658541684697835,0.05918886829217722,0.247101036316974,ANKIB1,0.22328894630415544
ENSG00000001630,105.14631009493212,0.2712743679291834,0.4213227282246505,0.4934952825065311,0.7240008287366195,CYP51A1,0.7135717270805512
ENSG00000001631,170.2938241301673,-0.503904703710472,0.38311012613363526,0.14743417677979656,0.39157563003242035,KRIT1,0.36348765701244723
ENSG00000002016,68.00779996466376,-0.5738003957249487,0.4077556598562374,0.10995448673808643,0.3378841883049734,RAD52,0.3103477288018716
ENSG00000002330,122.13770260842495,0.0027190184561629816,0.47406858672614666,0.9935979705881608,0.9964355356451903,BAD,0.9845635589475465
ENSG00000002549,524.676358301806,-0.020608270167018904,0.48877502195580164,0.9167043420768928,0.9654039000383162,LAP3,0.9469246004473236
ENSG00000002586,714.1719037697502,1.053124888489437,0.48377860964047836,0.015145852499977302,0.12584152277898913,CD99,0.12299687725572825
ENSG00000002587,52.000258501019275,0.4317194733765786,0.5498527115674636,0.3901074715925243,0.6464678717631394,HS3ST1,0.7625251526890966
ENSG00000002726,24.707312059294516,1.0143101598469182,0.7697888208032477,NA,NA,AOC1,NA
